025  3491234  025  5319971   70
025  4927038  010  62110045  236     			    
025  7216340  025  4521009   310       			
025  3491234  0571  2199516  100					
025  8120321  021  1094532  50        					
025  3491234  025  5319971   80 
025  4927038  025  3491234   155       		   
025  8120321  025  7216340   47				
025  7216340  010  2150045  93       			 
025  3491234  010  2150045  792					 
025  4927038  0571  2199516  931       		 
025  3491234  025  5319971   580				 
025  4927038  025  3491234   358       
025  8120321  021  1094532  197
025  7216340  025  4521009   256       
025  7216340  010  2150045  193
025  3492200  025  4521009   320       
025  3491234  025  5319971   270
025  4927038  025  3491234   231       
025  3492200  025  4927038   72
